N°,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,EMPALME,CAJA DISTRIBUCIÓN,REMATE,POTENCIA
0,ESTAPILLA COLIMA,YI,SITE,18.98002,-103.53112,0,N/A,N/A,0,-,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,ESTAPILLA COLIMA,CFE,PC001,18.97980109,-103.5314007,0,T1-H1-C01,N/A,0,SITE,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
2,ESTAPILLA COLIMA,CFE,PC002,18.97937849,-103.5316608,0,N/A,N/A,0,PC001,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
3,ESTAPILLA COLIMA,CFE,PC003,18.97900084,-103.5318921,0,N/A,N/A,0,PC002,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
4,ESTAPILLA COLIMA,CFE,PC004,18.97859624,-103.5321425,0,T1-H1-C02,N/A,0,PC003,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
5,ESTAPILLA COLIMA,CFE,PC005,18.97811958,-103.5324221,0,N/A,N/A,0,PC004,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
6,ESTAPILLA COLIMA,CFE,PC006,18.97776,-103.5326532,0,T1-H1-C06,N/A,0,PC005,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
7,ESTAPILLA COLIMA,CFE,PC007,18.97752088,-103.5321235,0,T1-H2-C01,N/A,0,PC006,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
8,ESTAPILLA COLIMA,CFE,PC008,18.9772603,-103.5323062,0,N/A,CE-H2-C1,0,PC007,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,LISTO,N/A
9,ESTAPILLA COLIMA,CFE,PC009,18.97693031,-103.5317108,0,N/A,N/A,0,PC008,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A
10,ESTAPILLA COLIMA,CFE,PC010,18.97666484,-103.5312762,0,T1-H2-C05,N/A,0,PC009,LISTO,LISTO,N/A,N/A,N/A,N/A,LISTO,N/A,
