N°,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,NO. PORTS,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,CAJA DISTRIBUCIÓN,CIERRE DE EMPALME,REMATE,POTENCIA CALCULO,POTENCIA FISICA,CALIDAD - POTENCIA,Tag Pot
10,VILLA VICTORIA CHINICUILA,CFE,PC010,18.757612,-103.371695,0,N/A,N/A,N/A,0,PC009,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
11,VILLA VICTORIA CHINICUILA,CFE,PC011,18.757541,-103.372021,0,N/A,N/A,N/A,0,PC010,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
12,VILLA VICTORIA CHINICUILA,CFE,PC012,18.757379,-103.372597,0,N/A,N/A,N/A,0,PC011,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
13,VILLA VICTORIA CHINICUILA,CFE,PC013,18.757269,-103.373051,0,T1-H1-C06,16,N/A,0,PC012,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-21.1,-19.16,4.38,Excelente
14,VILLA VICTORIA CHINICUILA,CFE,PC014,18.757305,-103.373588,0,N/A,N/A,N/A,0,PC013,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
15,VILLA VICTORIA CHINICUILA,CFE,PC015,18.757512,-103.374093,0,N/A,N/A,N/A,0,PC014,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
16,VILLA VICTORIA CHINICUILA,CFE,PC016,18.757428,-103.374622,0,N/A,N/A,N/A,0,PC015,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
17,VILLA VICTORIA CHINICUILA,CFE,PC017,18.757555,-103.374691,0,T1-H1-C09,8,N/A,0,PC016,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.7,-20.16,-0.79,Excelente
18,VILLA VICTORIA CHINICUILA,CFE,PC018,18.757657,-103.375182,0,N/A,N/A,N/A,0,PC017,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
19,VILLA VICTORIA CHINICUILA,CFE,PC019,18.757705,-103.375485,0,N/A,N/A,N/A,0,PC018,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
20,VILLA VICTORIA CHINICUILA,CFE,PC020,18.757289,-103.375392,0,T1-H1-C10,8,N/A,0,PC019,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.7,-21.73,-7.96,Excelente
21,VILLA VICTORIA CHINICUILA,CFE,PC021,18.757179,-103.37123,0,N/A,N/A,N/A,0,PC009,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
