N°,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,NO. PORTS,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,CAJA DISTRIBUCIÓN,CIERRE DE EMPALME,REMATE,CABLE DE ACERO,POTENCIA CALCULO,POTENCIA FISICA,CALIDAD - POTENCIA
30,EL CHANAL,CFE,PC028,19.2942,-103.7032,0,N/A,N/A,N/A,0,PC027,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
31,EL CHANAL,CFE,PC029,19.2945,-103.7029,0,T1-H3-C08,8,N/A,0,PC028,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21,-,-
32,EL CHANAL,CFE,PC030,19.2949,-103.7025,0,N/A,N/A,N/A,0,PC029,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
33,EL CHANAL,CFE,PC031,19.2953,-103.7022,0,T1-H3-C09,16,N/A,0,PC030,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-17,-,-
34,EL CHANAL,CFE,PC032,19.2941,-103.7047,0,N/A,N/A,N/A,0,PC023,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
35,EL CHANAL,CFE,PC033,19.2943,-103.7044,0,T1-H3-C03,16,N/A,0,PC032,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-22,-,-
36,EL CHANAL,CFE,PC034,19.2946,-103.704,0,N/A,N/A,N/A,0,PC033,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
37,EL CHANAL,CFE,PC035,19.295,-103.7036,0,T1-H3-C04,16,N/A,0,PC034,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21.9,-,-
38,EL CHANAL,CFE,PC036,19.2954,-103.7033,0,N/A,N/A,N/A,0,PC035,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,N/A
39,EL CHANAL,CFE,PC037,19.2957,-103.7029,0,T1-H3-C05,16,N/A,0,PC036,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,-21.9,-,-
