('COLI01-FIBR-TINA-XC22478', 'COLIMA', 'COLIMA', 'TINAJAS', 'Felipe Perez Arceo', 'TEPAMES CENTRAL', 'ONU', 'XC220_G3V', 'FIBRA', '10.0.48.239', '19.042666', '-103.5835', '478', 'LON', 'LOL-0', '478-COLI01-TEPAMES CENTRAL-FIBR-XC220_G3V-Felipe Perez Arceo-COLI-478')

[('COLI01-FIBR-COLI-ARIS000', 'COLIMA', 'COLIMA', 'COLIMA', 'OFICINA CENTRAL', 'CENTRAL', 'SWITCH', 'ARISTA 7050S_64_F', 'FIBRA', '10.0.10.0', '19.246546', '-103.709394', '000', 'L0', '-', '000-COLI01-CENTRAL-FIBR-ARISTA 7050S_64_F-OFICINA CENTRAL-COLI-000'),
["COLI01-FIBR-TEPA-CPE2024", "COLIMA", "COLIMA", "TEPAMES", "AP_SecundariaTepames", "TEPAMES CENTRAL", "APP", "CPE220", "FIBRA", "10.0.101.177", "19.10242687", "-103.6205264", "024", "LAPP", "LOL-000", "024-COLI01-TEPAMES CENTRAL-FIBR-CPE220-AP_SecundariaTepames-COLI-024"]

host,metric,latitude,longitude,afiliacion,ip,location
 48-MZO-T.PROTCIVIL-VVU-AXIS- Q6155-E-PTZ-Pez Vela-COL01-VVU-MANZ-048,5,19.257988,-103.719248,COL01-VVU-COLI-004,10.21.62.58,COLIMA
 59-MZO-T.POCITOS-VVU-AXIS- Q6155-E-PTZ-Presidencia Manzanillo-COL01-VVU-MANZ-059,5,19.00105126,-103.738014,COL01-VVU-IXTL-004,10.21.90.34,IXTLAHUACAN
 01-ARM-T.ARMERIA-VVU-AXIS- Q6155-E-PTZ-Entrada Armeria Autopista-COL01-VVU-ARME-001,4,18.90424678,-103.8728925,COL01-VVU-TECO-004,10.21.40.29,TECOMAN
 6-ARM-T.ARMERIA-VVU-AXIS- Q6155-E-PTZ-Salida a Cuyutlan-COL01-VVU-ARME-006,5,19.286622,-103.726342,COL01-VVU-VILL-004,10.21.63.8,VILLA
 08-ARM-T.ALCOMUN-VVU-AXIS- Q6155-E-PTZ-Salida Rincon de Lopez-COL01-VVU-ARME-008,5,18.93922,-103.969,COL01-VVU-ARME-005,10.21.65.25,ARMERIA
 22-COL-T.COMPADMIN-VVU-AXIS- Q6155-E-PTZ-Tercer Anillo V Carranza-COL01-VVU-COL002,5,19.256378,-103.716807,COL01-VVU-COLI-005,10.21.21.40,COLIMA
 18-COL-T.COMPADMIN-VVU-AXIS- Q6155-E-PTZ-Crucero Tepames-COL01-VVU-COLI-018,5,19.322339,-103.761591,COL01-VVU-COMA-005,10.21.80.18,COMALA
 19-COL-T.COMPADMIN-VVU-AXIS- Q6155-E-PTZ-Plaza Zentralia-COL01-VVU-COLI-010,5,19.20105345,-103.8107151,COL01-VVU-COQU-005,10.21.63.126,COQUIMATLAN
 08-COL-T.C5-VVU-AXIS- Q6155-E-PTZ-Starbucks-COL01-VVU-COLI-008,5,19.3865478,-103.56772,COL01-VVU-CUAU-005,10.21.61.11,CUAUHTEMOC
 11-TEC-T.TORRETECOC2-VVU-AXIS-Q3708-PVE-F1-CBTIS-COL01-VVU-TECO-011,5,19.00098001,-103.7334358,COL01-VVU-IXTL-005,10.21.90.36,IXTLAHUACAN
 17-TEC-T.TORRETECOC2-VVU-AXIS-Q3708-PVE-F1-Secundaria 20-COL01-VVU-TECO-017,5,19.12253346,-104.3525729,COL01-VVU-MANZ-005,10.21.30.24,MANZANILLO
 21-TEC-T.TORRETECOC2-VVU-AXIS-Q3708-PVE-F1-Perritos Colimotes-COL01-VVU-TECO-021,5,19.394005,-104.046194,COL01-VVU-MINA-005,10.21.75.18,MINATITLAN
 03-TEC-T.TORREPRIMAVERA-VVU-AXIS-Q3708-PVE-F2-Cofradia de Morelos-COL01-VVU-TECO-003,4,18.91012836,-103.8726953,COL01-VVU-TECO-005,10.21.41.41,TECOMAN
 05-TEC-T.TORRESEMEFO-VVU-AXIS-Q3708-PVE-F2-Presidencia Tecoman-COL01-VVU-TECO-005,5,19.29517749,-103.7315701,COL01-VVU-VILL-005,10.21.63.10,VILLA
 24-TEC-T.TORRESEMEFO-VVU-AXIS-Q3708-PVE-F2-Diaz Ordaz-COL01-VVU-TECO-024,5,18.93460,-103.973,COL01-VVU-ARME-006,10.21.65.34,ARMERIA
 28-TEC-T.TORRESEMEFO-VVU-AXIS-Q3708-PVE-F2-Indeco-COL01-VVU-TECO-028,5,19.263139,-103.711589,COL01-VVU-COLI-006,10.21.62.6,COLIMA
 35-TEC-T.TORRESEMEFO-VVU-AXIS-Q3708-PVE-F2-Parque Cuauhtemoc-COL01-VVU-TECO-035,5,19.212555,-103.805648,COL01-VVU-COQU-006,10.21.63.138,COQUIMATLAN
 08-TEC-T.TORRETECOC2-VVU-AXIS-Q3708-PVE-F2-Aurrera-COL01-VVU-TECO-008,5,19.334494,-103.664837,COL01-VVU-CUAU-006,10.21.61.14,CUAUHTEMOC
 12-TEC-T.TORRETECOC2-VVU-AXIS-Q3708-PVE-F2-Tacos La Pulguita-COL01-VVU-TECO-012,4,18.99811,-103.733981,COL01-VVU-IXTL-006,10.21.90.38,IXTLAHUACAN
 18-TEC-T.TORRETECOC2-VVU-AXIS-Q3708-PVE-F2-La Cuarta-COL01-VVU-TECO-018,5,19.117377,-104.353023,COL01-VVU-MANZ-006,10.21.37.19,MANZANILLO
 22-TEC-T.TORRETECOC2-VVU-AXIS-Q3708-PVE-F2-Surtidora Ferretera-COL01-VVU-TECO-022,5,19.388409,-104.061338,COL01-VVU-MINA-006,10.21.75.20,MINATITLAN
 39-TEC-T.TORREALCOMUN-VVU-AXIS-Q3708-PVE-F2-Gasolineria el Llano -COL01-VVU-TECO-039,4,18.910814,-103.873418,COL01-VVU-TECO-006,10.21.40.160,TECOMAN
 01-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F1-Crucero CFE-COL01-VVU-VILL-001,5,19.258315,-103.7472,COL01-VVU-VILL-006,10.21.50.25,VILLA
 09-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F1-Llantisimo Maria Ahumada-COL01-VVU-VILL-009,5,19.26241612,-103.7045698,COL01-VVU-COLI-007,10.21.62.2,COLIMA
 13-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F1-Centenario Tercer Anillo-COL01-VVU-VILL-013,5,19.42689787,-103.6992929,COL01-VVU-COMA-007,10.21.80.24,COMALA
 17-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F1-Huertas Del Cura-COL01-VVU-VILL-017,5,19.22314741,-103.7973401,COL01-VVU-COQU-007,10.21.63.130,COQUIMATLAN
 23-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F1-Jose de Ruiz Colon-COL01-VVU-VILL-023,5,19.390067,-103.583945,COL01-VVU-CUAU-007,10.21.61.16,CUAUHTEMOC
 31-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F1-Tec de Colima-COL01-VVU-VILL-031,5,19.120648,-104.350431,COL01-VVU-MANZ-007,10.21.37.27,MANZANILLO
 35-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F1-Entrada Soriana-COL01-VVU-VILL-035,5,19.391137,-104.049039,COL01-VVU-MINA-007,10.21.75.22,MINATITLAN
 39-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F1-Parque Industrial-COL01-VVU-VILL-039,4,18.93980809,-103.8945509,COL01-VVU-TECO-007,10.21.40.152,TECOMAN
